Movie_N,cleaned_review,Stars
The Old Guard,love concept execution not bad there some cringy forced parts but music really annoys me doesnt fit tone film all,7
The Old Guard,there were just so many clichés cringe naive moments dialogue also simple music not all good antagonist had cartoonish evil character,5
The Old Guard,actors all good well thats story childlike direction dull development highly predictable goodies baddies double crosser all fluffed up fight scenes explosions gunfire action probably only realistic thing even if plastered all over place no good reason effects all good have grit,5
The Old Guard,my mind kept referring back austin powers baddie comical but not funny way plot childlike felt very amateur take prime star out b roll movie never gets watched,9
The Old Guard,london scenes end were just bizarre empty streets then suddenly full crowds police making no sense whatsoever quality story telling very poor considering who film,5
The Old Guard,overall promising film immediately failed deliver anything other straight vhs sunday story lacking story direction make credible then attempt create sequel so ham fisted its execution just finished cringe not masterpiece so very disappointing,5
The Old Guard,i didnt read comic so i went blind i loved story action fight scenes thoroughly enjoyed movie i hope they have sequel series,3
The Old Guard,beginning movie very interesting but when approaching mid section cliche comes around all forced drama excess sad dialogues forcing dramatic life blablabla so lazy almost gave upthe worst part ingenuity characters lived like 200 years makes no sense dude 200 years old just make decision boy 15 years old after all action scenes worth saturday nights movie oh almost forgot new member team looks empty we dont get real felling her also doesnt act like girl armylike story shows up,5
The Old Guard,i really wanted like film its got simple but fun premise its got charlize theron whos fantastic actress but film just marred plot holes cliched characters tacky dialogues hands down most inadequate music possible film,8
The Old Guard,its still passable action film if you have absolutely nothing else watch,9
The Old Guard,disappointing looks like lazy film made tv aiming mostly teenage audience not even scratch atomic blonde mad max two others charlizes action films which different league mediocrity,5
The Old Guard,intriguing concept they dont do much average action scenes but lots blood feels like could have done another couple drafts some extra writers chief bad guy overacting bit rubbish my main fault just looked cheap more like tv show than big movie,8
The Old Guard,really good action movie acting excellent best part movie pace great i actually loved quirky soundtrack,6
The Old Guard,all characters were interesting developed realistic way i liked how they appeared like no super heroes just humans very very long life,5
The Old Guard,little details freeman getting ready tense elevator goes up 15th floor andys centuries old stuff old mine baklava taste bookers story were welcome pauses violence packed scenes they managed make characters relatable add meaning story,8
The Old Guard,11 fighting choreographed beautifully even though some scenes felt cliché,3
The Old Guard,i hoping more layered villain just balance 5 were not pure good so why would he pure evil save humanity doesnt count felt so rushed,1
The Old Guard,all all good movie watch bit different more human than most supernatural action movies too,2
The Old Guard,why why why so many haters first thing i thought wow what great sound track cinematographery point nothing missed charlize theron bad ass sure okay so there odd over top moments like endless supply security guards just keep coming but aside all all thoroughly entertaining original full action 1010 me cant wait old guard 2,10
The Old Guard,im stunned how can topic exciting executed boringly its dull movie camera work scenery editing uninspired already kindest word i can think setup takes way long actors have very little work go watch highlander instead,4
The Old Guard,film based comic book similarities r inevitable but solid action thriller short summary small group centuries old soldiers who r trapped immortality ability heal themselves must save each other being caged big pharma companies they soon realize harder hide 21st century so must get organized erase their footprints but same time deal past grievances,8
The Old Guard,cinematography n editing r top notch there no shaky cam darkly shot scenes hand hand combat n gun fight sequences r noteworthy charlize theron awesome shape all other actors gave good performances another highlight music,1
The Old Guard,premise good but they didnt got do something interesting kind bore all way also soundtrack one worst ive ever witnessed movie,2
The Old Guard,not bad but not great either its watchable but tad bland script probably needed couple more rewrites 510,8
The Old Guard,really loved action acting melancholy feel all much better than just average action flick except unfortunately incredibly stupid jarring popsongs which ruin some scenes please please please just decent score hopefully part two other than really no complaints,2
The Kissing Booth,realistic uncensored ie nonconformist teen movies rare but one something different adult i enjoyed,8
The Kissing Booth,dont judge 1930s standards open advancement truthful movie made fun watch,7
The Kissing Booth,cutesy fun i know girls like fantasize probably watch girlsonly but if you have good relationship family fun watch family see what girls dream also have some fun,8
The Kissing Booth,i am grown woman i do have admit i watch teen movies because they fun one fun sure manboy hunk,6
The Kissing Booth,pure teen movie but even if i am not teen i had fun watching same league mean girls,9
The Kissing Booth,girl can teenage girl boy can teenage boy like old teen movies they can have feelings imperfect experiment love emotions sexuality mostly freedom fun watch there nos ex scene but isnt sex sexuality nature,8
The Kissing Booth,but i could not stop watching i admit,8
The Kissing Booth,i mean here comes another girl who course falls muscular hunk what women loving only beefcakes,7
The Kissing Booth,oh well least he genuinely interested her really cares checking out her wiles we know why film watch family one evening forget about,7
The Kissing Booth,movie extremely cliched but what i would expect movie nature so i enjoyed anyway what i didnt expect me have such strong hope young girls men watch learn one reason i gave movie 8 stars not because acting pretty good but because signals clarity communication relationships important,8
The Kissing Booth,if you want experience fifteen year old girls fantasy like kind acting even pretty good given writing clumsy,8
The Kissing Booth,girl doing her best performing well possible under duress pressure dating competitive but she doing her best all she has she isnt sexiest babe but flaunts just little attract man,7
The Kissing Booth,wasfun watch setting fun oriented two teens girl getting lot attention her hunk many inferior suitors come girl but she rarely dazzled weak men positive message,1
The Kissing Booth,full lovely scenes lines messages movie portrays uplifting young girls guy ignores you but its okay because he popular then you get go date him you win him because thats what you want main guy strong powerful alpha male borderline sexy only slightly disappointing factor relationship between best friends,8
The Kissing Booth,really enjoyed smart girl who has determination man real alpha male modern relationship thin hot bod who worth laughs course lots laugh make qualify comedy enjoy,9
The Kissing Booth,pure teen movie but even if i am not teen i had fun watching same league mean girls,8
The Kissing Booth,spoiler yes first glance movie just cute light only elle noah classic girl best friends older brother couple not unusual not too sappy but heres real triumph noah alpha male has lot love him before theyre even official he adores her expects her protected him we already know he cares when he tells her not go parties takes ownership gets into fights over her so romantic there one scene particular where he fights someone over elles honor then he visibly upset good relationship young girls good feel wanted loved how many men care enough like he does we should carefully consider how our current media affects young minds formative stages where every film has toocooltobeinlovekids not here i want more kisses number two please,1
